Sentence #,Word,Tag
Sentence: 1,Exhibit,O
Sentence: 1,99.1,O
Sentence: 1,JOINT,B-DOC_NAME
Sentence: 1,FILING,I-DOC_NAME
Sentence: 1,AGREEMENT,I-DOC_NAME
Sentence: 1,The,O
Sentence: 1,undersigned,O
Sentence: 1,hereby,O
Sentence: 1,agree,O
Sentence: 1,that,O
Sentence: 1,the,O
Sentence: 1,Schedule,O
Sentence: 1,13G,O
Sentence: 1,/,O
Sentence: 1,A,O
Sentence: 1,with,O
Sentence: 1,respect,O
Sentence: 1,to,O
Sentence: 1,the,O
Sentence: 1,shares,O
Sentence: 1,of,O
Sentence: 1,Class,O
Sentence: 1,A,O
Sentence: 1,Common,O
Sentence: 1,Stock,O
Sentence: 1,",",O
Sentence: 1,$,O
Sentence: 1,0.001,O
Sentence: 1,par,O
Sentence: 1,value,O
Sentence: 1,per,O
Sentence: 1,share,O
Sentence: 1,",",O
Sentence: 1,of,O
Sentence: 1,The,O
Sentence: 1,RMR,O
Sentence: 1,Group,O
Sentence: 1,Inc.,O
Sentence: 1,",",O
Sentence: 1,dated,O
Sentence: 1,as,O
Sentence: 1,of,O
Sentence: 1,December,O
Sentence: 1,31,O
Sentence: 1,",",O
Sentence: 1,2019,O
Sentence: 1,",",O
Sentence: 1,is,O
Sentence: 1,",",O
Sentence: 1,and,O
Sentence: 1,any,O
Sentence: 1,amendments,O
Sentence: 1,thereto,O
Sentence: 1,(,O
Sentence: 1,including,O
Sentence: 1,amendments,O
Sentence: 1,on,O
Sentence: 1,Schedule,O
Sentence: 1,13D,O
Sentence: 1,),O
Sentence: 1,signed,O
Sentence: 1,by,O
Sentence: 1,each,O
Sentence: 1,of,O
Sentence: 1,the,O
Sentence: 1,undersigned,O
Sentence: 1,shall,O
Sentence: 1,be,O
Sentence: 1,",",O
Sentence: 1,filed,O
Sentence: 1,on,O
Sentence: 1,behalf,O
Sentence: 1,of,O
Sentence: 1,each,O
Sentence: 1,of,O
Sentence: 1,us,O
Sentence: 1,pursuant,O
Sentence: 1,to,O
Sentence: 1,and,O
Sentence: 1,in,O
Sentence: 1,accordance,O
Sentence: 1,with,O
Sentence: 1,the,O
Sentence: 1,provisions,O
Sentence: 1,of,O
Sentence: 1,Rule,O
Sentence: 1,13d-1(k,O
Sentence: 1,),O
Sentence: 1,under,O
Sentence: 1,the,O
Sentence: 1,Securities,O
Sentence: 1,Exchange,O
Sentence: 1,Act,O
Sentence: 1,of,O
Sentence: 1,1934,O
Sentence: 1,",",O
Sentence: 1,as,O
Sentence: 1,amended,O
Sentence: 1,.,O
Sentence: 1,January,B-AGMT_DATE
Sentence: 1,22,I-AGMT_DATE
Sentence: 1,",",I-AGMT_DATE
Sentence: 1,2020,I-AGMT_DATE
Sentence: 1,(,O
Sentence: 1,Date,O
Sentence: 1,),O
Sentence: 1,ABP,B-PARTY
Sentence: 1,TRUST,I-PARTY
Sentence: 1,/s/,O
Sentence: 1,Adam,O
Sentence: 1,D.,O
Sentence: 1,Portnoy,O
Sentence: 1,(,O
Sentence: 1,Signature,O
Sentence: 1,),O
Sentence: 1,Adam,O
Sentence: 1,D.,O
Sentence: 1,Portnoy,O
Sentence: 1,",",O
Sentence: 1,President,O
Sentence: 1,(,O
Sentence: 1,Name,O
Sentence: 1,/,O
