Sentence #,Word,Tag
Sentence: 1,10.1016,O
Sentence: 1,/,O
Sentence: 1,j.carbon.2014.03.017,O
Sentence: 2,High,B-Property-Misc
Sentence: 2,-,I-Property-Misc
Sentence: 2,capacity,I-Property-Misc
Sentence: 2,graphene,B-Material
Sentence: 2,oxide,I-Material
Sentence: 2,/,I-Material
Sentence: 2,graphite,I-Material
Sentence: 2,/,I-Material
Sentence: 2,carbon,I-Material
Sentence: 2,nanotube,B-Property-Misc
Sentence: 2,composites,I-Property-Misc
Sentence: 2,for,O
Sentence: 2,use,O
Sentence: 2,in,O
Sentence: 2,Li,O
Sentence: 2,-,O
Sentence: 2,ion,O
Sentence: 2,battery,O
Sentence: 2,anodes,B-Property-Misc
Sentence: 3,All,O
Sentence: 3,chemical,O
Sentence: 3,reagents,B-Material
Sentence: 3,used,B-Operation
Sentence: 3,to,O
Sentence: 3,prepare,B-Operation
Sentence: 3,graphene,B-Material
Sentence: 3,oxide,I-Material
Sentence: 3,were,O
Sentence: 3,analytical,B-Amount-Misc
Sentence: 3,grade,I-Amount-Misc
Sentence: 3,(,O
Sentence: 3,purchased,B-Operation
Sentence: 3,from,O
Sentence: 3,Chengdu,B-Brand
Sentence: 3,Kelong,I-Brand
Sentence: 3,Chemicals,I-Brand
Sentence: 3,Co,I-Brand
Sentence: 3,.,O
Sentence: 3,",",B-Brand
Sentence: 3,Ltd,I-Brand
Sentence: 3,.,O
Sentence: 3,),O
Sentence: 3,and,O
Sentence: 3,used,B-Operation
Sentence: 3,as,O
Sentence: 3,received,O
Sentence: 3,.,O
Sentence: 4,Graphene,B-Material
Sentence: 4,oxide,I-Material
Sentence: 4,was,O
Sentence: 4,synthesized,B-Operation
Sentence: 4,from,O
Sentence: 4,high,B-Material-Descriptor
Sentence: 4,-,I-Material-Descriptor
Sentence: 4,purity,I-Material-Descriptor
Sentence: 4,natural,I-Material-Descriptor
Sentence: 4,graphite,B-Material
Sentence: 4,flakes,I-Material
Sentence: 4,(,O
Sentence: 4,about,O
Sentence: 4,200,B-Number
Sentence: 4,meshes,B-Amount-Unit
Sentence: 4,",",O
Sentence: 4,99.999,B-Number
Sentence: 4,%,B-Amount-Unit
Sentence: 4,purity,B-Amount-Misc
Sentence: 4,;,O
Sentence: 4,Changsha,B-Brand
Sentence: 4,Shenghua,I-Brand
Sentence: 4,Research,I-Brand
Sentence: 4,Institute,I-Brand
Sentence: 4,),O
Sentence: 4,using,B-Operation
Sentence: 4,the,O
Sentence: 4,Hummers,B-Reference
Sentence: 4,method,I-Reference
Sentence: 4,[11],I-Reference
Sentence: 4,.,O
Sentence: 5,In,O
Sentence: 5,a,O
Sentence: 5,typical,O
Sentence: 5,synthesis,O
Sentence: 5,",",O
Sentence: 5,5,B-Number
Sentence: 5,g,B-Amount-Unit
Sentence: 5,of,O
Sentence: 5,natural,B-Material-Descriptor
Sentence: 5,graphite,B-Material
Sentence: 5,flakes,I-Material
Sentence: 5,was,O
Sentence: 5,added,B-Operation
Sentence: 5,to,O
Sentence: 5,115,B-Number
Sentence: 5,ml,B-Amount-Unit
Sentence: 5,of,O
Sentence: 5,H2SO4,B-Material
Sentence: 5,(,O
Sentence: 5,98,B-Number
Sentence: 5,%,B-Amount-Unit
Sentence: 5,),O
Sentence: 5,with,O
Sentence: 5,vigorous,B-Condition-Misc
Sentence: 5,stirring,B-Operation
Sentence: 5,in,O
Sentence: 5,an,O
Sentence: 5,ice,B-Synthesis-Apparatus
Sentence: 5,bath,I-Synthesis-Apparatus
Sentence: 5,.,O
Sentence: 6,Then,O
Sentence: 6,",",O
Sentence: 6,15,B-Number
Sentence: 6,g,B-Amount-Unit
Sentence: 6,KMnO4,B-Material
Sentence: 6,was,O
Sentence: 6,slowly,B-Condition-Misc
Sentence: 6,added,B-Operation
Sentence: 6,to,O
Sentence: 6,the,O
Sentence: 6,reaction,B-Synthesis-Apparatus
Sentence: 6,vessel,I-Synthesis-Apparatus
Sentence: 6,five,B-Number
Sentence: 6,times,B-Condition-Unit
Sentence: 6,.,O
Sentence: 7,Afterwards,O
Sentence: 7,",",O
Sentence: 7,230,B-Number
Sentence: 7,ml,B-Amount-Unit
Sentence: 7,of,O
Sentence: 7,deionized,B-Material-Descriptor
Sentence: 7,water,B-Material
Sentence: 7,and,O
Sentence: 7,30,B-Number
Sentence: 7,ml,B-Amount-Unit
Sentence: 7,of,O
Sentence: 7,H2O2,B-Material
Sentence: 7,were,O
Sentence: 7,added,B-Operation
Sentence: 7,to,O
Sentence: 7,the,O
Sentence: 7,suspension,B-Material
Sentence: 7,.,O
Sentence: 8,The,O
Sentence: 8,ice,B-Synthesis-Apparatus
Sentence: 8,bath,I-Synthesis-Apparatus
Sentence: 8,was,O
Sentence: 8,removed,B-Operation
Sentence: 8,and,O
Sentence: 8,then,O
Sentence: 8,subjected,O
Sentence: 8,to,O
Sentence: 8,centrifugal,B-Condition-Misc
Sentence: 8,separation,B-Operation
Sentence: 8,and,O
Sentence: 8,repeated,B-Condition-Misc
Sentence: 8,washing,B-Operation
Sentence: 8,using,O
Sentence: 8,dilute,B-Material-Descriptor
Sentence: 8,hydrochloric,B-Material
Sentence: 8,acid,I-Material
Sentence: 8,and,O
Sentence: 8,deionized,B-Material-Descriptor
Sentence: 8,water,B-Material
Sentence: 8,.,O
Sentence: 9,The,O
Sentence: 9,colloidal,B-Material-Descriptor
Sentence: 9,dispersion,B-Material
