Sentence #,Word,Tag
Sentence: 1,agravada,O
Sentence: 1,em,O
Sentence: 1,8/1/2019,O
Sentence: 1,",",O
Sentence: 1,o,O
Sentence: 1,agravo,O
Sentence: 1,somente,O
Sentence: 1,foi,O
Sentence: 1,interposto,O
Sentence: 1,em,O
Sentence: 1,11/2/2019,O
Sentence: 1,",",O
Sentence: 1,sendo,O
Sentence: 1,portanto,O
Sentence: 1,intempestivo,O
Sentence: 1,;,O
Sentence: 1,e,O
Sentence: 1,que,O
Sentence: 1,a,O
Sentence: 1,Corte,O
Sentence: 1,Especial,O
Sentence: 1,do,O
Sentence: 1,STJ,O
Sentence: 1,",",O
Sentence: 1,no,O
Sentence: 1,julgamento,O
Sentence: 1,do,O
Sentence: 1,AREsp,O
Sentence: 1,n.,O
Sentence: 1,957.821,O
Sentence: 1,",",O
Sentence: 1,em,O
Sentence: 1,20/11/2017,O
Sentence: 1,",",O
Sentence: 1,chegou,O
Sentence: 1,à,O
Sentence: 1,conclusão,O
Sentence: 1,de,O
Sentence: 1,que,O
Sentence: 1,",",O
Sentence: 1,na,O
Sentence: 1,vigência,O
Sentence: 1,do,O
Sentence: 1,Código,B-LEGISLACAO
Sentence: 1,de,I-LEGISLACAO
Sentence: 1,Processo,I-LEGISLACAO
Sentence: 1,Civil,I-LEGISLACAO
Sentence: 1,de,I-LEGISLACAO
Sentence: 1,2015,I-LEGISLACAO
Sentence: 1,",",O
Sentence: 1,não,O
Sentence: 1,é,O
Sentence: 1,possível,O
Sentence: 1,a,O
Sentence: 1,pretensão,O
Sentence: 1,de,O
Sentence: 1,comprovação,O
Sentence: 1,da,O
Sentence: 1,tempestividade,O
Sentence: 1,após,O
Sentence: 1,a,O
Sentence: 1,interposição,O
Sentence: 1,do,O
Sentence: 1,recurso,O
Sentence: 1,.,O
Sentence: 2,Deve-se,O
Sentence: 2,preservar,O
Sentence: 2,a,O
Sentence: 2,coisa,O
Sentence: 2,julgada,O
Sentence: 2,material,O
Sentence: 2,",",O
Sentence: 2,especialmente,O
Sentence: 2,nos,O
Sentence: 2,casos,O
Sentence: 2,em,O
Sentence: 2,que,O
Sentence: 2,se,O
Sentence: 2,pretende,O
Sentence: 2,ampliar,O
Sentence: 2,o,O
Sentence: 2,que,O
Sentence: 2,foi,O
Sentence: 2,decidido,O
Sentence: 2,por,O
Sentence: 2,decisão,O
Sentence: 2,judicial,O
Sentence: 2,já,O
Sentence: 2,transitada,O
Sentence: 2,em,O
Sentence: 2,julgado,O
Sentence: 2,",",O
Sentence: 2,dada,O
Sentence: 2,sua,O
Sentence: 2,imutabilidade,O
Sentence: 2,",",O
Sentence: 2,encontrando-se,O
Sentence: 2,preclusa,O
Sentence: 2,a,O
Sentence: 2,matéria,O
Sentence: 2,",",O
Sentence: 2,uma,O
Sentence: 2,vez,O
Sentence: 2,que,O
Sentence: 2,não,O
Sentence: 2,arguida,O
Sentence: 2,no,O
Sentence: 2,momento,O
Sentence: 2,oportuno,O
Sentence: 2,.,O
Sentence: 2,O,O
Sentence: 2,artigo,B-LEGISLACAO
Sentence: 2,508,I-LEGISLACAO
Sentence: 2,do,O
Sentence: 2,CPC/2015,B-LEGISLACAO
Sentence: 2,alberga,O
Sentence: 2,o,O
Sentence: 2,princípio,O
Sentence: 2,do,O
Sentence: 2,dedutível,O
Sentence: 2,e,O
Sentence: 2,do,O
Sentence: 2,deduzido,O
Sentence: 2,",",O
Sentence: 2,considerando-se,O
Sentence: 2,que,O
Sentence: 2,tudo,O
Sentence: 2,o,O
Sentence: 2,que,O
Sentence: 2,as,O
Sentence: 2,partes,O
Sentence: 2,poderiam,O
Sentence: 2,ter,O
Sentence: 2,deduzido,O
Sentence: 2,como,O
Sentence: 2,argumentação,O
Sentence: 2,em,O
Sentence: 2,torno,O
Sentence: 2,do,O
Sentence: 2,pedido,O
Sentence: 2,ou,O
Sentence: 2,da,O
Sentence: 2,defesa,O
Sentence: 2,reputa-se,O
Sentence: 2,feito,O
Sentence: 2,.,O
Sentence: 3,II,O
Sentence: 3,-,O
Sentence: 3,Aplica-se,O
Sentence: 3,ao,O
Sentence: 3,recurso,O
Sentence: 3,o,O
Sentence: 3,enunciado,O
Sentence: 3,administrativo,O
Sentence: 3,n.,O
Sentence: 3,3,O
Sentence: 3,da,O
Sentence: 3,Súmula,O
Sentence: 3,do,O
